date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2025-03-03,3.7363335304415775,0.6665547439461166,6.654500740521077,35760805589
2025-03-04,3.7418161248467467,0.6756620979387372,6.803953248554753,35760805589
2025-03-05,3.747298719251915,0.8428850077790282,6.714295822420311,35760805589
2025-03-06,3.7527813136570836,0.6326207458160087,6.919598925254905,35760805589
2025-03-07,3.758263908062252,0.9673880174853989,6.715487316637629,35760805589
2025-03-08,3.7637465024674204,0.7992458530816021,6.9821169907264675,35760805589
2025-03-09,3.7692290968725897,0.6844845866517464,6.972144631527177,35760805589
2025-03-10,3.774711691277758,0.5687992745064333,6.8757906475348465,35760805589
2025-03-11,3.7801942856829265,0.7359583577661419,6.894323520454976,35760805589
2025-03-12,3.785676880088095,0.8130063725418021,7.1086127552577345,35760805589
2025-03-13,3.7911594744932633,0.6291192556144656,6.9496655322763585,35760805589
2025-03-14,3.7966420688984317,0.587211832439198,6.767150351438449,35760805589
2025-03-15,3.802124663303601,0.8150622928453005,6.641384228717221,35760805589
2025-03-16,3.8076072577087694,0.8530405714908459,6.822178297934551,35760805589
2025-03-17,3.8130898521139387,0.5852105750880857,6.839200657043843,35760805589
2025-03-18,3.818572446519107,0.8003640240040291,6.831930323150271,35760805589
2025-03-19,3.8240550409242755,0.783591511194757,6.880623046349898,35760805589
2025-03-20,3.829537635329444,0.9332099007620696,7.1302402692766,35760805589
2025-03-21,3.8350202297346123,0.6014036877358364,6.537885718222575,35760805589
2025-03-22,3.8405028241397807,0.9183301819830192,6.9802679713428,35760805589
2025-03-23,3.84598541854495,0.6764239442728238,6.811550497685876,35760805589
2025-03-24,3.8514680129501184,0.7018117291989361,6.682222093152791,35760805589
2025-02-25,8.792876026250982,5.862937724294531,11.895715713586448,35760808536
2025-02-26,8.811491363326333,5.7776012759879825,11.826272961661237,35760808536
2025-02-27,8.830106700401686,5.905564193114208,11.904685103602587,35760808536
2025-02-28,8.848722037477037,5.774049662634338,11.806746683782512,35760808536
2025-03-01,8.86733737455239,5.995245057843138,12.057872875786483,35760808536
2025-03-02,8.885952711627743,5.928902776100845,11.841875551553903,35760808536
2025-03-03,8.904568048703096,5.989485279739367,11.661953918080542,35760808536
2025-03-04,8.923183385778445,5.919247725106122,11.696794497541429,35760808536
2025-03-05,8.9417987228538,5.9106640558433465,11.852779461212391,35760808536
2025-03-06,8.960414059929155,5.959144357588285,11.694087190769782,35760808536
2025-03-07,8.979029397004505,6.079507319039425,11.972121037657184,35760808536
2025-03-08,8.99764473407986,6.12551327781633,12.004677943079226,35760808536
2025-03-09,9.016260071155209,6.159167431793925,12.092213480636252,35760808536
2025-03-10,9.034875408230564,6.0759976782012055,11.864841049589897,35760808536
2025-03-11,9.053490745305915,6.14889249595673,12.330933959486355,35760808536
2025-03-12,9.072106082381268,6.198114602978407,12.14395555347631,35760808536
2025-03-13,9.090721419456619,5.998547423496732,11.94100833655874,35760808536
2025-03-14,9.109336756531972,5.980062914129805,12.021428483783833,35760808536
2025-03-15,9.127952093607327,6.205170594363598,12.225872843152924,35760808536
2025-03-16,9.146567430682678,6.290946206669016,12.039895633605253,35760808536
2025-03-17,9.165182767758031,6.203307913882275,12.19683461009174,35760808536
2025-03-18,9.183798104833382,6.1664755929499675,12.327595120705155,35760808536
2025-03-19,9.202413441908735,6.380621043651919,12.042102509192784,35760808536
2025-03-20,9.221028778984088,6.034619518647153,12.308962819112612,35760808536
2025-03-21,9.239644116059441,6.3775433659762,12.348466364540151,35760808536
2025-03-22,9.258259453134793,6.085193992744155,12.283868184465641,35760808536
2025-03-23,9.276874790210146,6.257483883737505,12.172418053072038,35760808536
2025-03-24,9.295490127285499,6.273736494672334,12.138431645941175,35760808536
2025-03-04,56.69132824481246,56.41523829181862,56.96583220607918,35760809177
2025-03-05,66.87399267078553,66.60382859114011,67.14628308536113,35760809177
2025-03-06,82.01280377054428,81.74467477325992,82.28885005532054,35760809177
2025-03-07,102.5237177730342,102.24720428550803,102.78389160577474,35760809177
2025-03-08,128.7159993437116,128.4469841561444,128.99064621067683,35760809177
2025-03-09,160.77969565111934,160.49855329793047,161.04865362809574,35760809177
2025-03-10,198.77555885845806,198.52216062173122,199.05296280089942,35760809177
2025-03-11,242.62771511155617,242.354271851816,242.8833357427015,35760809177
2025-03-12,292.119316754951,291.8348403679545,292.39343580247265,35760809177
2025-03-13,346.89134647040333,346.60570059440676,347.15734998232654,35760809177
2025-03-14,406.4446689398192,406.1631940219485,406.70950272698536,35760809177
2025-03-15,470.14534925489284,469.87837019076363,470.4171733726597,35760809177
2025-03-16,537.2331795119212,536.9508296963888,537.5130308444715,35760809177
2025-03-17,606.8332777619693,606.5451981368658,607.1060804869821,35760809177
2025-03-18,677.9705486611527,677.6959671840916,678.235741061849,35760809177
2025-03-19,749.5867246631537,749.3104082694649,749.8559328229574,35760809177
2025-03-20,820.5596422092834,820.2919780980538,820.8362016381492,35760809177
2025-03-21,889.7243507131682,889.4606336777862,889.979979753452,35760809177
2025-03-22,955.895604690883,955.6233561883807,956.1754384264343,35760809177
2025-03-23,1017.8912523629834,1017.6087815490488,1018.1552970305713,35760809177
2025-03-24,1074.5560084278193,1074.295725945409,1074.8230099850796,35760809177
2025-03-25,1124.7850851658482,1124.5374279970288,1125.0727796192646,35760809177
2025-03-26,1167.547154972289,1167.2596166119117,1167.8070061780968,35760809177
2025-03-27,1201.9061289074518,1201.6262572390215,1202.188179275706,35760809177
2025-03-28,1227.0412596504166,1226.7823422593233,1227.2945890087458,35760809177
2025-03-29,1242.265112814811,1241.9850110040336,1242.517848948488,35760809177
2025-03-30,1247.0389970770132,1246.7586096971872,1247.3180080930213,35760809177
2025-03-31,1240.9854998655278,1240.7100352826208,1241.2527792991866,35760809177
2024-11-12,1.9983852389044556,1.998385238903497,1.9983852389054344,3576081009
2024-11-13,1.9999603738250906,1.9999603738241365,1.9999603738260259,3576081009
2024-11-14,2.0015355087457256,2.001535508744684,2.001535508746663,3576081009
2024-11-15,2.0031106436663606,2.0031106436653427,2.003110643667329,3576081009
